Country Code,Entity,Urban Population,Internet Access (%),Eating Disorder(%),Depressive Disorder (%),Deaths Age 5-14,Deaths Age 15-49,Deaths Age 50-59,Deaths Age 70+,Male Suicide Rate,Female Suicide Rate,Combined Suicide Rate
MLI,Mali,43.136,24.200000762939453,0.09,3.6,0.68,5.12,17.5,36.55,10.4577,5.7,7.96
MLT,Malta,94.678,85.778564453125,0.46,3.44,0.13,5.45,5.91,10.04,8.35,2.25,5.32
MMR,Myanmar,30.852,34.900001525878906,0.1,2.26,0.34,4.85,4.45,6.33,5.09,1.09,2.96
MNE,Montenegro,67.15,73.47666931152344,0.17,3.03,0.6,14.6,29.21,46.5,25.3775,7.88,16.2247
MNG,Mongolia,68.543,51.07999420166016,0.14,4.2,1.98,27.32,15.5,12.43,31.1094,5.62,18.0245
MOZ,Mozambique,36.528,15.100000381469728,0.09,5.09,0.71,10.02,36.51,70.59,42.5634,8.92,23.1947
MRT,Mauritania,54.507,36.70000076293945,0.12,3.76,0.39,3.6,12.9,33.89,7.39,3.85,5.47
MUS,Mauritius,40.766,61.72995376586914,0.14,3.95,0.59,12.8,6.87,7.69,15.028,2.53,8.75
MWI,Malawi,17.174,9.899999618530272,0.08,4.22,0.79,7.48,26.07,52.98,19.9896,3.3,10.5762
MYS,Malaysia,76.607,84.18714141845703,0.16,3.89,0.08,6.07,9.92,20.0,9.02,2.39,5.77
NAM,Namibia,51.042,40.5,0.17,3.74,0.15,13.97,25.0,35.93,24.8823,4.35,13.5141
NER,Niger,16.517,,0.08,4.3,0.64,5.24,19.88,43.02,14.1483,6.42,10.1456
NGA,Nigeria,51.157,33.599998474121094,0.13,3.87,0.38,3.98,13.33,42.65,10.1346,3.79,6.87
NIC,Nicaragua,58.76,37.79999923706055,0.18,3.45,0.76,7.23,8.46,11.32,7.79,1.91,4.66
NLD,Netherlands,91.876,93.28858947753906,0.42,3.9,0.24,11.26,17.4,15.86,12.4773,6.06,9.27
NOR,Norway,82.616,98.00000762939452,0.51,3.51,0.48,12.18,14.03,11.8,13.401,6.29,9.91
NPL,Nepal,20.153,32.79999923706055,0.11,5.06,0.52,14.96,21.87,19.88,18.5601,2.94,9.77
NZL,New Zealand,86.615,90.1999969482422,0.67,4.12,0.66,15.9,12.15,11.43,15.3934,5.41,10.2951
OMN,Oman,85.443,90.3000030517578,0.28,4.13,0.14,3.22,3.19,7.26,6.43,1.12,4.47
PAK,Pakistan,36.907,17.07090187072754,0.13,4.1,0.91,13.36,8.65,10.02,14.5505,4.75,9.77
PAN,Panama,68.059,63.628414154052734,0.3,3.12,0.38,6.51,6.04,7.87,4.8,0.982,2.86
PER,Peru,78.099,59.95050048828125,0.31,2.33,0.27,4.0,3.7,5.15,4.1,1.38,2.73
PHL,Philippines,47.149,43.026611328125,0.11,2.89,0.27,6.03,5.15,6.65,3.88,1.32,2.54
PNG,Papua New Guinea,13.25,,0.08,3.14,0.25,4.25,5.99,6.98,5.21,1.93,3.57
POL,Poland,60.037,80.43590545654297,0.2,2.48,0.43,18.62,24.55,16.6,16.4633,2.43,9.3
PRK,North Korea,62.134,,0.07,2.83,0.52,10.28,18.18,26.9,10.6494,6.27,8.2
PRT,Portugal,65.764,75.34637451171875,0.46,4.81,0.12,8.4,15.47,30.45,11.5839,3.46,7.22
PRY,Paraguay,61.879,68.51763153076172,0.23,3.9,0.92,8.4,8.21,8.52,9.0,3.26,6.16
QAT,Qatar,99.188,99.65280151367188,0.37,4.21,0.13,5.49,4.07,8.05,5.66,1.69,4.66
ROU,Romania,54.084,73.65747833251953,0.17,2.83,0.52,10.83,16.98,15.02,12.6242,2.37,7.33
RUS,Russia,74.587,82.64215850830078,0.17,3.32,0.89,34.07,28.95,34.23,38.1786,7.23,21.5962
RWA,Rwanda,17.313,26.0,0.1,5.25,0.68,6.32,19.45,45.54,14.7642,5.04,9.45
SAU,Saudi Arabia,84.065,95.72473907470705,0.29,4.42,0.05,6.23,6.28,6.23,7.79,1.91,5.43
SDN,Sudan,34.936,25.899999618530277,0.15,4.61,0.4,8.15,6.73,7.84,6.34,3.26,4.76
SEN,Senegal,47.653,39.5,0.11,4.1,0.72,7.11,26.41,63.72,18.5345,5.18,10.9934
SLB,Solomon Islands,24.21,,0.07,3.09,1.54,37.77,25.73,21.5,32.2491,2.41,17.3741
SLE,Sierra Leone,42.484,16.799999237060547,0.09,4.46,0.77,6.49,21.27,43.92,14.7957,8.18,11.2529
SLV,El Salvador,72.746,50.49119186401367,0.21,3.6,0.67,11.82,10.58,11.07,11.1394,2.08,6.11
SOM,Somalia,45.554,,0.05,4.94,1.02,8.53,30.57,47.27,22.7511,7.07,14.6618
SRB,Serbia,56.26,77.4167709350586,0.15,3.02,0.21,12.23,25.35,45.94,12.2182,3.89,7.86
SSD,South Sudan,19.899,5.599999904632568,0.16,4.85,0.63,4.7,17.75,46.77,10.3786,3.38,6.69
STP,Sao Tome and Principe,73.598,32.0,0.11,3.83,0.12,2.66,4.79,6.66,3.34,1.15,2.2
SUR,Suriname,66.095,68.75,0.24,4.89,1.18,30.54,36.82,48.54,41.3291,11.7912,25.8913
SVK,Slovakia,53.729,82.8536605834961,0.2,2.9,0.3,12.44,19.01,18.02,16.7059,2.58,9.31
SVN,Slovenia,54.822,83.10836029052734,0.2,3.37,0.58,15.3,28.32,37.37,22.6666,5.54,13.9658
SWE,Sweden,87.708,94.49344635009766,0.56,4.47,0.31,13.45,19.48,19.22,16.9462,7.73,12.3731
SWZ,Eswatini,23.981,,0.16,4.59,0.25,28.21,42.94,43.18,78.6703,6.41,40.4572
SYC,Seychelles,57.119,75.0,0.16,2.79,0.13,10.56,10.77,15.53,14.0023,1.33,7.73
SYR,Syria,54.821,34.650001525878906,0.17,4.35,0.11,2.8,3.44,4.31,3.51,0.753,2.11
TCD,Chad,23.279,9.800000190734863,0.1,5.22,0.88,7.31,29.22,64.89,20.2075,6.88,13.2237
TGO,Togo,42.248,19.299999237060547,0.09,4.58,0.65,8.27,26.44,47.36,23.9862,6.45,14.8097
THA,Thailand,50.692,66.65242004394531,0.14,2.99,0.27,12.67,10.09,13.05,13.8679,2.3,7.95
TJK,Tajikistan,27.309,,0.09,2.97,0.43,7.15,7.48,10.99,7.35,3.38,5.32
TKM,Turkmenistan,52.048,,0.16,3.25,0.57,13.27,8.84,10.6,9.41,2.91,6.07
TLS,Timor,30.947,29.0,0.1,2.89,0.32,6.81,8.71,13.57,6.69,2.42,4.53
TON,Tonga,23.107,,0.1,2.82,0.4,6.91,6.3,11.46,5.88,2.94,4.37
TTO,Trinidad and Tobago,53.187,,0.3,4.03,0.64,14.83,11.96,12.06,13.087,3.66,8.28
TUN,Tunisia,69.254,66.69999694824219,0.22,5.34,0.19,4.54,3.94,6.84,4.6,1.84,3.18
TUR,Turkey,75.63,73.97669982910156,0.31,4.16,0.32,3.75,3.88,5.21,3.59,1.19,2.34
TZA,Tanzania,34.5,20.0,0.11,4.77,0.69,6.13,21.02,51.66,13.5032,3.74,8.15
UGA,Uganda,24.361,14.699999809265137,0.1,6.69,0.62,6.22,22.9,55.6,19.3883,3.7,10.4467
UKR,Ukraine,69.473,70.12484741210938,0.13,4.2,1.18,40.08,31.77,34.09,32.7041,4.65,17.7287
URY,Uruguay,95.426,83.35153198242188,0.38,3.07,0.61,20.35,27.14,36.0,31.1222,7.67,18.8276
USA,United States,82.459,89.43028259277344,0.46,4.73,0.85,15.01,19.48,18.24,22.3985,6.77,14.5111
UZB,Uzbekistan,50.433,70.4000015258789,0.12,3.34,1.95,16.55,12.68,12.3,11.8412,4.93,8.28
VCT,Saint Vincent and the Grenadines,52.614,,0.22,3.51,0.21,7.46,10.88,18.13,1.33,0.673,1.01
VEN,Venezuela,88.24,,0.22,3.36,0.51,10.8,10.43,13.02,3.65,0.69,2.1
VNM,Vietnam,36.628,68.66158294677734,0.1,2.58,0.23,8.58,14.28,23.66,10.5563,4.18,7.22
VUT,Vanuatu,25.394,,0.08,3.06,1.46,28.92,20.11,24.29,33.0968,9.01,20.9647
WSM,Samoa,18.056,,0.1,2.92,0.96,18.89,13.89,22.91,20.8964,7.8,14.6024
YEM,Yemen,37.273,,0.13,5.04,0.39,8.25,8.09,8.11,8.95,5.27,7.06
ZAF,South Africa,66.856,68.19999694824219,0.17,4.45,0.02,20.27,15.75,20.31,37.8794,9.83,23.4856
ZMB,Zambia,44.072,16.799999237060547,0.12,4.3,0.72,9.32,30.07,58.16,25.7417,5.28,14.4258
ZWE,Zimbabwe,32.21,25.100000381469727,0.1,3.55,0.29,21.35,45.67,76.7,9.65,4.81,7.19
